State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category,Missing_Tiers
Jharkhand,Pashchimi Singhbhum,2020,0.492983504,,,0.492983504,Medium Risk,"Exposure, Vulnerability"
Jharkhand,Pashchimi Singhbhum,2021,0.533272959,,,0.533272959,Medium Risk,"Exposure, Vulnerability"
Jharkhand,Purbi Singhbhum,2020,0.35408391,,,0.35408391,Medium Risk,"Exposure, Vulnerability"
Jharkhand,Purbi Singhbhum,2021,0.589645504,,,0.589645504,Medium Risk,"Exposure, Vulnerability"
Jharkhand,Ramgarh,2020,0.199530827,,0.484151513,0.34184117,Low Risk,Exposure
Jharkhand,Ramgarh,2021,0.504617443,,0.432746127,0.468681785,Medium Risk,Exposure
Jharkhand,Ranchi,2020,0.263431634,,0.621423843,0.442427739,Medium Risk,Exposure
Jharkhand,Ranchi,2021,0.534717402,,0.580023211,0.557370307,Medium Risk,Exposure
Jharkhand,Sahibganj,2020,0.648408438,,0.486066987,0.567237713,Medium Risk,Exposure
Jharkhand,Sahibganj,2021,0.700380012,,0.307007598,0.503693805,Medium Risk,Exposure
Jharkhand,Saraikela-Kharsawan,2020,0.347488605,,0.396036646,0.371762626,Medium Risk,Exposure
Jharkhand,Saraikela-Kharsawan,2021,0.409264201,,0.381724397,0.395494299,Medium Risk,Exposure
Jharkhand,Simdega,2020,0.523938537,,0.313961386,0.418949962,Medium Risk,Exposure
Jharkhand,Simdega,2021,0.472795516,,0.259327556,0.366061536,Medium Risk,Exposure
Karnataka,Bagalkot,2020,0.603328366,0.500709908,0.436809325,0.513615866,Medium Risk,None
Karnataka,Bagalkot,2021,0.236104705,0.500709908,0.507543338,0.414785984,Medium Risk,None
Karnataka,Bangalore,2020,0.21015302,0.666501388,,0.438327204,Medium Risk,Vulnerability
Karnataka,Bangalore,2021,0.467067959,0.666501388,,0.566784674,Medium Risk,Vulnerability
Karnataka,Bangalore Rural,2020,0.296385803,0.714502796,,0.5054443,Medium Risk,Vulnerability
Karnataka,Bangalore Rural,2021,0.639701449,0.714502796,,0.677102123,High Risk,Vulnerability
Karnataka,Belgaum,2020,0.534644375,0.545065165,,0.53985477,Medium Risk,Vulnerability
Karnataka,Belgaum,2021,0.408797952,0.545065165,,0.476931559,Medium Risk,Vulnerability
Karnataka,Bellary,2020,0.572679963,0.553659979,,0.563169971,Medium Risk,Vulnerability
Karnataka,Bellary,2021,0.382647422,0.553659979,,0.468153701,Medium Risk,Vulnerability
Karnataka,Beedar,2020,0.757504569,,,0.757504569,High Risk,"Exposure, Vulnerability"
Karnataka,Beedar,2021,0.494089625,,,0.494089625,Medium Risk,"Exposure, Vulnerability"
Karnataka,Bijapur,2020,0.518509066,0.532742919,,0.525625993,Medium Risk,Vulnerability
Karnataka,Bijapur,2021,0.584776512,0.532742919,,0.558759716,Medium Risk,Vulnerability
Karnataka,Chamarajanagar,2020,0.412186604,0.623361671,0.436306832,0.490618369,Medium Risk,None
Karnataka,Chamarajanagar,2021,0.33934087,0.623361671,0.4379074,0.46686998,Medium Risk,None
Karnataka,Chikkaballapura,2020,0.519937368,0.640336051,0.529660869,0.563311429,Medium Risk,None
Karnataka,Chikkaballapura,2021,0.748503554,0.640336051,0.565900713,0.651580106,High Risk,None
Karnataka,Chikkamagalur,2020,0.408940074,0.646049713,,0.527494894,Medium Risk,Vulnerability
Karnataka,Chikkamagalur,2021,0.383506028,0.646049713,,0.514777871,Medium Risk,Vulnerability
Karnataka,Chitradurga,2020,0.523658067,0.600378542,0.491362374,0.538466328,Medium Risk,None
Karnataka,Chitradurga,2021,0.556248732,0.600378542,0.523925444,0.560184239,Medium Risk,None
Karnataka,Dakshina Kannada,2020,0.500572654,0.677029545,0.470292362,0.549298187,Medium Risk,None
Karnataka,Dakshina Kannada,2021,0.307388898,0.677029545,0.506602445,0.497006963,Medium Risk,None
Karnataka,Davanagere,2020,0.328598054,0.644764744,0.514024874,0.495795891,Medium Risk,None
Karnataka,Davanagere,2021,0.383722235,0.644764744,0.559107963,0.529198314,Medium Risk,None
Karnataka,Dharwad,2020,0.442221532,0.59136392,0.343274256,0.458953236,Medium Risk,None
Karnataka,Dharwad,2021,0.521510241,0.59136392,0.409288604,0.507387588,Medium Risk,None
Karnataka,Gadag,2020,0.475666817,0.529966495,0.408141639,0.471258317,Medium Risk,None
Karnataka,Gadag,2021,0.406005016,0.529966495,0.431677858,0.455883123,Medium Risk,None
Karnataka,Gulbarga,2020,0.862147862,0.511199943,,0.686673903,High Risk,Vulnerability
Karnataka,Gulbarga,2021,0.606665972,0.511199943,,0.558932958,Medium Risk,Vulnerability
Karnataka,Hassan,2020,0.354958233,0.658391202,0.550698012,0.521349149,Medium Risk,None
Karnataka,Hassan,2021,0.427056328,0.658391202,0.568981317,0.551476282,Medium Risk,None
Karnataka,Haveri,2020,0.304653671,0.62194869,0.512947164,0.479849842,Medium Risk,None
Karnataka,Haveri,2021,0.462031803,0.62194869,0.538876125,0.540952206,Medium Risk,None
Karnataka,Kodagu,2020,0.428312912,0.645500212,0.477164317,0.51699248,Medium Risk,None
Karnataka,Kodagu,2021,0.308097099,0.645500212,0.453238854,0.468945388,Medium Risk,None
Karnataka,Kolar,2020,0.551122243,0.658888709,0.435004287,0.548338413,Medium Risk,None
Karnataka,Kolar,2021,0.681698312,0.658888709,0.472690579,0.604425867,Medium Risk,None
Karnataka,Koppal,2020,0.706581915,0.52873382,0.461414066,0.5655766,Medium Risk,None
Karnataka,Koppal,2021,0.383497001,0.52873382,0.478508381,0.463579734,Medium Risk,None
Karnataka,Mandya,2020,0.23775058,0.664665953,0.538951876,0.480456136,Medium Risk,None
Karnataka,Mandya,2021,0.363858784,0.664665953,0.511468643,0.513331127,Medium Risk,None
Karnataka,Mysore,2020,0.32778136,0.643508,,0.48564468,Medium Risk,Vulnerability
Karnataka,Mysore,2021,0.264106815,0.643508,,0.453807408,Medium Risk,Vulnerability
Karnataka,Raichur,2020,0.63211756,0.505530187,0.551050071,0.562899273,Medium Risk,None
Karnataka,Raichur,2021,0.335383142,0.505530187,0.542644961,0.461186097,Medium Risk,None
Karnataka,Ramanagara,2020,0.286790287,,0.514144698,0.400467492,Medium Risk,Exposure
Karnataka,Ramanagara,2021,0.515464309,,0.541081821,0.528273065,Medium Risk,Exposure
Karnataka,Shimoga,2020,0.357191694,0.639844999,0.58496468,0.527333791,Medium Risk,None
Karnataka,Shimoga,2021,0.406897053,0.639844999,0.586764531,0.544502194,Medium Risk,None
Karnataka,Tumkur,2020,0.423082628,0.616667616,,0.519875122,Medium Risk,Vulnerability
Karnataka,Tumkur,2021,0.684793951,0.616667616,,0.650730784,High Risk,Vulnerability
Karnataka,Udupi,2020,0.60084794,0.651608723,0.478720614,0.577059092,Medium Risk,None
Karnataka,Udupi,2021,0.361645366,0.651608723,0.477778681,0.497010923,Medium Risk,None
Karnataka,Uttara Kannada,2020,0.586236869,0.618449815,0.448059544,0.550915409,Medium Risk,None
Karnataka,Uttara Kannada,2021,0.500824171,0.618449815,0.479518742,0.532930909,Medium Risk,None
Karnataka,Yadgir,2020,0.83994709,0.447805313,0.460135232,0.582629212,Medium Risk,None
Karnataka,Yadgir,2021,0.486515425,0.447805313,0.475044665,0.469788468,Medium Risk,None
Kerala,Alappuzha,2020,0.600355507,0.734817687,0.501106136,0.61209311,Medium Risk,None
Kerala,Alappuzha,2021,0.839645683,0.734817687,0.489152158,0.687871843,High Risk,None
Kerala,Ernakulam,2020,0.426522813,0.745873684,,0.586198249,Medium Risk,Vulnerability
Kerala,Ernakulam,2021,0.69389679,0.745873684,,0.719885237,High Risk,Vulnerability
Kerala,Idukki,2020,0.556075153,0.713053165,0.506822039,0.591983452,Medium Risk,None
Kerala,Idukki,2021,0.718427358,0.713053165,0.525052342,0.652177622,High Risk,None
Kerala,Kannur,2020,0.614275492,0.736650912,0.494835012,0.615253805,Medium Risk,None
Kerala,Kannur,2021,0.443858852,0.736650912,,0.590254882,Medium Risk,Vulnerability
Kerala,Kasaragod,2020,0.611605426,0.699510784,0.493309861,0.601475357,Medium Risk,None
Kerala,Kasaragod,2021,0.335681342,0.699510784,0.486968903,0.50738701,Medium Risk,None
Kerala,Kollam,2020,0.202947274,0.750976617,,0.476961946,Medium Risk,Vulnerability
Kerala,Kollam,2021,0.799179336,0.750976617,,0.775077977,High Risk,Vulnerability
Kerala,Kottayam,2020,0.42771817,0.716030196,0.444711753,0.529486706,Medium Risk,None
Kerala,Kottayam,2021,0.819630071,0.716030196,0.497828393,0.677829553,High Risk,None
Kerala,Kozhikode,2020,0.431327662,0.751845897,,0.59158678,Medium Risk,Vulnerability
Kerala,Kozhikode,2021,0.423112633,0.751845897,,0.587479265,Medium Risk,Vulnerability
Kerala,Malappuram,2020,0.408479637,0.693151092,0.585273328,0.562301352,Medium Risk,None
Kerala,Malappuram,2021,0.630766241,0.693151092,0.599161839,0.641026391,High Risk,None
Kerala,Palakkad,2020,0.474275076,0.669408314,0.569543202,0.571075531,Medium Risk,None
Kerala,Palakkad,2021,0.517270943,0.669408314,0.59257836,0.593085872,Medium Risk,None
Kerala,Pathanamthitta,2020,0.313892126,0.779253909,0.459885503,0.517677179,Medium Risk,None
Kerala,Pathanamthitta,2021,0.808964567,0.779253909,0.484563658,0.690927378,High Risk,None
Kerala,Thiruvananthapuram,2020,0.277943378,0.729958787,,0.503951083,Medium Risk,Vulnerability
Kerala,Thiruvananthapuram,2021,0.779122852,0.729958787,,0.75454082,High Risk,Vulnerability
Kerala,Thrissur,2020,0.320808975,0.717408923,,0.519108949,Medium Risk,Vulnerability
Kerala,Thrissur,2021,0.573212036,0.717408923,,0.64531048,High Risk,Vulnerability
Kerala,Wayanad,2020,0.527738171,0.691731666,0.503601707,0.574357181,Medium Risk,None
Kerala,Wayanad,2021,0.517102794,0.691731666,0.499693834,0.569509431,Medium Risk,None
Lakshadweep,Lakshadweep,2020,,0.757234359,0.169074554,0.463154457,Medium Risk,Hazard
Lakshadweep,Lakshadweep,2021,,0.757234359,0.138621025,0.447927692,Medium Risk,Hazard
Madhya Pradesh,Agar Malwa,2020,0.241890122,,,0.241890122,Low Risk,"Exposure, Vulnerability"
Madhya Pradesh,Agar Malwa,2021,0.432531853,,,0.432531853,Medium Risk,"Exposure, Vulnerability"
Madhya Pradesh,Alirajpur,2020,0.435434838,,0.329022647,0.382228743,Medium Risk,Exposure
Madhya Pradesh,Alirajpur,2021,0.419378513,,0.329419088,0.374398801,Medium Risk,Exposure
Madhya Pradesh,Anuppur,2020,0.336668642,,0.571434599,0.454051621,Medium Risk,Exposure
Madhya Pradesh,Anuppur,2021,0.415467997,,0.558946322,0.48720716,Medium Risk,Exposure
Madhya Pradesh,Ashok Nagar,2020,0.168438108,,0.546543058,0.357490583,Medium Risk,Exposure
Madhya Pradesh,Ashok Nagar,2021,0.603409251,,0.539275394,0.571342323,Medium Risk,Exposure
Madhya Pradesh,Balaghat,2020,0.496249513,,0.630336742,0.563293127,Medium Risk,Exposure
Madhya Pradesh,Balaghat,2021,0.181580132,,0.571958948,0.37676954,Medium Risk,Exposure
Madhya Pradesh,Barwani,2020,0.4533323,,0.481697606,0.467514953,Medium Risk,Exposure
Madhya Pradesh,Barwani,2021,0.297005024,,0.491343659,0.394174341,Medium Risk,Exposure
Madhya Pradesh,Betul,2020,0.362635649,,0.56263362,0.462634635,Medium Risk,Exposure
Madhya Pradesh,Betul,2021,0.336738853,,0.559799577,0.448269215,Medium Risk,Exposure
Madhya Pradesh,Bhind,2020,0.126924848,,0.442044961,0.284484905,Low Risk,Exposure
Madhya Pradesh,Bhind,2021,0.356511113,,0.488212352,0.422361733,Medium Risk,Exposure
Madhya Pradesh,Bhopal,2020,0.391641042,,0.573592249,0.482616646,Medium Risk,Exposure
Madhya Pradesh,Bhopal,2021,0.445816072,,0.557162615,0.501489344,Medium Risk,Exposure
Madhya Pradesh,Burhanpur,2020,0.304360034,,0.473699893,0.389029963,Medium Risk,Exposure
Madhya Pradesh,Burhanpur,2021,0.208627147,,0.508998567,0.358812857,Medium Risk,Exposure
Madhya Pradesh,Chhatarpur,2020,0.249816623,,0.612429198,0.43112291,Medium Risk,Exposure
Madhya Pradesh,Chhatarpur,2021,0.21827337,,0.618265948,0.418269659,Medium Risk,Exposure
Madhya Pradesh,Chhindwara,2020,0.44414332,,0.547514396,0.495828858,Medium Risk,Exposure
Madhya Pradesh,Chhindwara,2021,0.182037176,,0.532123468,0.357080322,Medium Risk,Exposure
Madhya Pradesh,Damoh,2020,0.280441322,,0.60343217,0.441936746,Medium Risk,Exposure
Madhya Pradesh,Damoh,2021,0.152118458,,0.603243493,0.377680976,Medium Risk,Exposure
Madhya Pradesh,Datia,2020,0.121173871,,0.443661071,0.282417471,Low Risk,Exposure
Madhya Pradesh,Datia,2021,0.481998631,,0.472110918,0.477054775,Medium Risk,Exposure
Madhya Pradesh,Dewas,2020,0.573858328,,0.567692687,0.570775508,Medium Risk,Exposure
Madhya Pradesh,Dewas,2021,0.275432857,,0.589837293,0.432635075,Medium Risk,Exposure
Madhya Pradesh,Dhar,2020,0.478083538,,0.617601165,0.547842351,Medium Risk,Exposure
Madhya Pradesh,Dhar,2021,0.288027987,,0.64564613,0.466837059,Medium Risk,Exposure
Madhya Pradesh,Dindori,2020,0.511748111,,0.462469113,0.487108612,Medium Risk,Exposure
Madhya Pradesh,Dindori,2021,0.637908782,,0.472157833,0.555033308,Medium Risk,Exposure
Madhya Pradesh,East Nimar,2020,0.271522402,,,0.271522402,Low Risk,"Exposure, Vulnerability"
Madhya Pradesh,East Nimar,2021,0.140434003,,,0.140434003,Low Risk,"Exposure, Vulnerability"
Madhya Pradesh,Guna,2020,0.227135437,,0.631565,0.429350219,Medium Risk,Exposure
Madhya Pradesh,Guna,2021,0.632679245,,0.600488384,0.616583815,Medium Risk,Exposure
Madhya Pradesh,Gwalior,2020,0.190690505,,0.711485103,0.451087804,Medium Risk,Exposure
Madhya Pradesh,Gwalior,2021,0.51827857,,0.705052651,0.611665611,Medium Risk,Exposure
Madhya Pradesh,Harda,2020,0.368670429,,0.509186397,0.438928413,Medium Risk,Exposure
Madhya Pradesh,Harda,2021,0.253218277,,0.556740989,0.404979633,Medium Risk,Exposure
Madhya Pradesh,Hoshangabad,2020,0.482429906,,0.55766882,0.520049363,Medium Risk,Exposure
Madhya Pradesh,Hoshangabad,2021,0.349311103,,0.590724504,0.470017804,Medium Risk,Exposure
Madhya Pradesh,Indore,2020,0.558126777,,0.647363894,0.602745336,Medium Risk,Exposure
Madhya Pradesh,Indore,2021,0.196658784,,0.67917548,0.437917132,Medium Risk,Exposure
Madhya Pradesh,Jabalpur,2020,0.326062687,,0.643595911,0.484829299,Medium Risk,Exposure
Madhya Pradesh,Jabalpur,2021,0.178315433,,0.616873804,0.397594619,Medium Risk,Exposure
Madhya Pradesh,Jhabua,2020,0.451109585,,0.336298004,0.393703795,Medium Risk,Exposure
Madhya Pradesh,Jhabua,2021,0.334708093,,0.325580242,0.330144168,Low Risk,Exposure
Madhya Pradesh,Katni,2020,0.168108714,,0.556514112,0.362311413,Medium Risk,Exposure
